[2026-05-06 18:33:16.566] schedule_alarm_tick took 195.8ms | second=18:33:16
[2026-05-06 18:33:17.273] schedule_alarm_tick took 237.3ms | second=18:33:17
[2026-05-06 18:33:18.202] schedule_alarm_tick took 157.8ms | second=18:33:18
[2026-05-06 18:33:19.187] schedule_alarm_tick took 138.3ms | second=18:33:19
[2026-05-06 18:33:20.176] schedule_alarm_tick took 130.6ms | second=18:33:20
[2026-05-06 18:33:21.175] schedule_alarm_tick took 139.1ms | second=18:33:21
[2026-05-06 18:33:22.174] schedule_alarm_tick took 132.7ms | second=18:33:22
[2026-05-06 18:33:22.714] timer_update_gap 70.5ms running=1 schedule_window=0 alarm=1
[2026-05-06 18:33:23.181] schedule_alarm_tick took 144.8ms | second=18:33:23
[2026-05-06 18:33:23.584] timer_update_gap 65.4ms running=1 schedule_window=0 alarm=1
[2026-05-06 18:33:23.835] timer_update_gap 85.5ms running=1 schedule_window=0 alarm=1
[2026-05-06 18:33:24.161] schedule_alarm_tick took 124.6ms | second=18:33:24
[2026-05-06 18:33:25.165] schedule_alarm_tick took 128.4ms | second=18:33:25
[2026-05-06 18:33:26.173] schedule_alarm_tick took 137.2ms | second=18:33:26
[2026-05-06 18:33:27.160] schedule_alarm_tick took 124.9ms | second=18:33:27
[2026-05-06 18:45:56.468] schedule_summary_tick took 22.3ms | second_changed=1 blink=0
[2026-05-06 18:45:57.243] schedule_summary_tick took 22.4ms | second_changed=1 blink=0
[2026-05-06 18:45:58.253] schedule_summary_tick took 21.8ms | second_changed=1 blink=0
[2026-05-06 18:45:59.310] timer_update_gap 68.0ms running=1 schedule_window=1 alarm=1
[2026-05-06 18:46:01.247] schedule_summary_tick took 20.6ms | second_changed=1 blink=0
[2026-05-06 18:46:02.241] schedule_summary_tick took 21.3ms | second_changed=1 blink=0
[2026-05-06 18:46:04.242] schedule_summary_tick took 21.1ms | second_changed=1 blink=0
[2026-05-06 18:46:05.250] schedule_summary_tick took 21.1ms | second_changed=1 blink=0
[2026-05-06 18:46:06.243] schedule_summary_tick took 21.9ms | second_changed=1 blink=0
[2026-05-06 18:46:07.250] schedule_summary_tick took 24.5ms | second_changed=1 blink=0
[2026-05-06 18:46:08.266] schedule_summary_tick took 33.2ms | second_changed=1 blink=0
[2026-05-06 18:46:09.259] schedule_summary_tick took 32.3ms | second_changed=1 blink=0
[2026-05-06 18:46:10.256] schedule_summary_tick took 30.0ms | second_changed=1 blink=0
[2026-05-06 18:46:11.251] schedule_summary_tick took 28.5ms | second_changed=1 blink=0
[2026-05-06 18:46:12.249] schedule_summary_tick took 26.8ms | second_changed=1 blink=0
[2026-05-06 18:46:13.266] schedule_summary_tick took 34.3ms | second_changed=1 blink=0
[2026-05-06 18:46:14.249] schedule_summary_tick took 28.6ms | second_changed=1 blink=0
[2026-05-06 18:46:15.252] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:46:16.255] schedule_summary_tick took 23.6ms | second_changed=1 blink=0
[2026-05-06 18:46:17.255] schedule_summary_tick took 28.7ms | second_changed=1 blink=0
[2026-05-06 18:46:18.246] schedule_summary_tick took 25.6ms | second_changed=1 blink=0
[2026-05-06 18:46:19.255] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:46:20.248] schedule_summary_tick took 21.8ms | second_changed=1 blink=0
[2026-05-06 18:46:21.246] schedule_summary_tick took 22.8ms | second_changed=1 blink=0
[2026-05-06 18:46:22.256] schedule_summary_tick took 24.0ms | second_changed=1 blink=0
[2026-05-06 18:46:23.253] schedule_summary_tick took 29.3ms | second_changed=1 blink=0
[2026-05-06 18:46:24.260] schedule_summary_tick took 31.4ms | second_changed=1 blink=0
[2026-05-06 18:46:25.254] schedule_summary_tick took 21.9ms | second_changed=1 blink=0
[2026-05-06 18:46:26.247] schedule_summary_tick took 21.8ms | second_changed=1 blink=0
[2026-05-06 18:46:27.249] schedule_summary_tick took 27.7ms | second_changed=1 blink=0
[2026-05-06 18:46:28.256] schedule_summary_tick took 31.4ms | second_changed=1 blink=0
