# 보스명|시간(HH:MM:SS)|요일(월,화,...)|반복(weekly/biweekly_current/biweekly_next)|기준일(YYYY-MM-DD)|사용여부(1/0)|글자색(#RRGGBB)|배경색(#RRGGBB)
월드보스|12:00:00|월,화,수,목,금,토,일|weekly||1|#FFFFFF|#0080FF
발할라 대전|13:00:00|월,화,수,목,금,토,일|weekly||1|#FFFFFF|#09A2A6
핏빛고블린|13:00:00|수|weekly||1|#FF0000|#FFFF68
황금고블린|13:30:00|월,화,수,목,금,토,일|weekly||0|#D12CCD|#FFFF80
핏빛고블린|15:00:00|수|weekly||1|#FF0000|#FFFF68
발할라 대전|18:00:00|월,화,수,목,금,토,일|weekly||1|#FFFFFF|#09A2A6
닻|18:29:00|수|weekly||1|#FFB3FF|#A6063F
황금고블린|18:30:00|월,화,수,목,금,토,일|weekly||0|#D12CCD|#FFFF80
지옥성채 정예|19:00:00|월,화,수,목,금,토,일|weekly||1|#FFFFFF|#FF80FF
핏빛고블린|19:00:00|수|weekly||1|#FF0000|#FFFF68
월드보스|20:00:00|월,화,수,목,금,토,일|weekly||1|#FFFFFF|#0080FF
닻|20:29:00|수|weekly||1|#FFB3FF|#A6063F
발할라 대전|21:00:00|월,화,수,목,금,토,일|weekly||1|#FFFFFF|#09A2A6
핏빛고블린|21:00:00|수|weekly||1|#FF0000|#FFFF68
공성전|21:30:00|토|biweekly_next|2026-05-02|1|#00FF40|#FF0000
성채|21:30:00|화,목|weekly||1|#D76B00|#F8C6FF
쟁탈전|21:30:00|월|weekly||1|#80FFFF|#FF0080
닻|22:29:00|수|weekly||1|#FFB3FF|#A6063F
지옥 성채|22:30:00|목|weekly||1|#FF0000|#FF80FF
트리니티 리그|22:30:00|일|biweekly_current|2026-04-26|1|#00FF40|#FF0000
황금고블린|23:30:00|월,화,수,목,금,토,일|weekly||0|#D12CCD|#FFFF80
